EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:19:44	0	0.2000	7.335074660497536e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
2	14:20:02	1	0.2000	1.375326498843288e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
3	14:20:20	2	0.2000	1.375326498843288e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
4	14:20:37	3	0.2000	4.355200579670412e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
5	14:20:55	4	0.2000	-4.125979496529864e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
6	14:21:14	1	0.1000	-2.062989748264932e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
7	14:21:34	2	0.1000	5.501305995373152e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
8	14:21:53	3	0.1000	-4.58442166281096e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
9	14:22:12	4	0.1000	-2.750652997686576e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
10	14:22:30	1	0.0500	0.0	9.036890347147164e-09	0.0	0.0	0.0	0.0
11	14:22:48	2	0.0500	-7.335074660497536e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
12	14:23:06	3	0.0500	1.14610541570274e-10	9.036890347147164e-09	0.0	0.0	0.0	0.0
13	14:23:24	4	0.0500	-9.16884332562192e-10	9.036890347147164e-09	0.0	0.0	0.0	0.0
14	14:23:42	1	0.0250	3.4383162471082202e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
15	14:24:01	2	0.0250	-3.667537330248768e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
16	14:24:19	3	0.0250	2.9798740808271243e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
17	14:24:37	4	0.0250	-2.062989748264932e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
18	14:24:55	1	0.0125	-1.833768665124384e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
19	14:25:13	2	0.0125	-7.335074660497536e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0
20	14:25:31	3	0.0125	5.272084912232604e-09	9.036890347147164e-09	0.0	0.0	0.0	0.0